Probe ID	Stigma_control-1	Stigma_control-2	Stigma_control-3	Ovary_control-1	Ovary_control-2	Ovary_control-3	Pollinating_stigma-1	Pollinating_stigma-2	Pollinating_ovary-1	Pollinating_ovary-2	Pollinating_ovary-3	Pollen_tube_growth-1	Pollen_tube_growth-2	Pollen_tube_growth-3	Fertilization-1	Fertilization-2	Fertilization-3	Zygote_formation-1	Zygote_formation-2	Zygote_formation-3	null	Probe ID	Stigma_control-1	Stigma_control-2	Stigma_control-3	Ovary_control-1	Ovary_control-2	Ovary_control-3	Pollinating_stigma-1	Pollinating_stigma-2	Pollinating_ovary-1	Pollinating_ovary-2	Pollinating_ovary-3	Pollen_tube_growth-1	Pollen_tube_growth-2	Pollen_tube_growth-3	Fertilization-1	Fertilization-2	Fertilization-3	Zygote_formation-1	Zygote_formation-2	Zygote_formation-3	null
AFFX-Os-r2-Bs-thr-3_s_at	10.4269	10.4872	10.0257	9.4372	10.2502	9.7675	10.5262	11.2123	9.9469	9.7321	9.5498	9.1994	10.1365	9.6341	9.9102	9.4263	9.7201	9.3656	9.0507	9.446		
AFFX-Os-r2-Bs-thr-5_s_at	8.9617	8.6171	6.0382	8.1515	9.0756	8.1184	8.792	9.6228	8.4505	8.9125	8.002	7.8467	8.7481	8.2185	8.7792	7.0101	7.8383	7.5436	6.2397	7.2929		
AFFX-Os-r2-Bs-thr-M_s_at	9.6462	9.8408	7.9798	9.0475	9.8111	9.1796	9.8757	10.8812	9.2693	9.8099	9.0349	8.8584	9.3681	9.2476	9.5172	8.5942	8.9186	8.7805	8.4635	8.5108		
AFFX-Os-r2-Ec-bioB-3_at	11.3972	11.343	11.7952	10.6487	11.5669	11.1976	11.2346	11.5462	11.646	11.2214	11.2037	10.653	11.127	10.9062	11.019	10.7145	11.2173	10.6073	10.9937	10.4534		
AFFX-Os-r2-Ec-bioB-5_at	10.8734	10.6841	10.9715	10.114	10.9477	10.6887	10.6301	11.0399	11.0986	10.3614	10.5485	9.7923	10.5253	10.3485	10.5138	10.0376	10.4066	10.0682	10.4064	9.9534		
AFFX-Os-r2-Ec-bioB-M_at	11.1999	11.412	11.5402	10.6329	11.7399	11.2632	10.9414	11.4367	11.6754	11.071	11.234	10.7574	11.0663	10.9171	11.1352	10.5359	11.2674	10.6291	11.0252	10.6622		
AFFX-Os-r2-Ec-bioC-3_at	12.8784	12.8142	13.0959	11.9598	13.2298	12.8778	12.6415	12.9885	13.0898	12.6238	12.6956	12.0755	12.6344	12.5754	12.6135	12.1248	12.7697	12.1801	12.5406	12.1262		
AFFX-Os-r2-Ec-bioC-5_at	12.7608	12.7781	13.1607	11.8435	13.05	12.5394	12.6175	12.9183	12.8975	12.6251	12.4846	11.9164	12.5045	12.3356	12.4799	12.0776	12.5675	11.9846	12.3203	11.8996		
AFFX-Os-r2-Ec-bioD-3_at	15.3162	15.2176	15.4537	14.2546	15.4563	15.0524	15.1082	15.4856	15.3007	15.0217	15.0705	14.1878	15.1258	14.8344	14.862	14.5979	15.1163	14.5483	14.815	14.4579		
AFFX-Os-r2-Ec-bioD-5_at	14.3197	14.1446	14.4753	13.5011	14.5707	14.2056	14.1648	14.4323	14.4097	14.0672	14.1743	13.4786	14.1769	13.9633	14.0396	13.4491	14.291	13.6422	13.8687	13.5012		
